name,version,enabled,display_name,description,url
job-dsl,1.93,Yes,Unknown,Job DSL,http://193.1.1.3:8080/pluginManager/plugin/job-dsl/
joda-time-api,2.14.0-149.v1c3ce991d1b_9,Yes,Unknown,Joda Time API Plugin,http://193.1.1.3:8080/pluginManager/plugin/joda-time-api/
jquery3-api,3.7.1-619.vdb_10e002501a_,Yes,Unknown,JQuery3 API Plugin,http://193.1.1.3:8080/pluginManager/plugin/jquery3-api/
jsch,0.2.16-95.v3eecb_55fa_b_78,Yes,Unknown,Jenkins JSch dependency plugin,http://193.1.1.3:8080/pluginManager/plugin/jsch/
json-api,20250517-173.v596efb_962a_31,Yes,Unknown,JSON Api Plugin,http://193.1.1.3:8080/pluginManager/plugin/json-api/
json-path-api,2.10.0-202.va_9cc16c1e476,Yes,Unknown,JSON Path API Plugin,http://193.1.1.3:8080/pluginManager/plugin/json-path-api/
junit,1369.v15da_00283f06,Yes,Unknown,JUnit Plugin,http://193.1.1.3:8080/pluginManager/plugin/junit/
katalon,1.0.34,Yes,Unknown,Katalon Plugin,http://193.1.1.3:8080/pluginManager/plugin/katalon/
ldap,793.v754d6b_41b_ea_4,Yes,Unknown,LDAP Plugin,http://193.1.1.3:8080/pluginManager/plugin/ldap/
mailer,522.va_995fa_cfb_8b_d,Yes,Unknown,Jenkins Mailer Plugin,http://193.1.1.3:8080/pluginManager/plugin/mailer/
matrix-project,870.v9db_fcfc2f45b_,Yes,Unknown,Matrix Project Plugin,http://193.1.1.3:8080/pluginManager/plugin/matrix-project/
metrics,4.2.37-489.vb_6db_69b_ce753,Yes,Unknown,Metrics Plugin,http://193.1.1.3:8080/pluginManager/plugin/metrics/
mina-sshd-api-common,2.16.0-167.va_269f38cc024,Yes,Unknown,Mina SSHD API :: Common,http://193.1.1.3:8080/pluginManager/plugin/mina-sshd-api-common/
mina-sshd-api-core,2.16.0-167.va_269f38cc024,Yes,Unknown,Mina SSHD API :: Core,http://193.1.1.3:8080/pluginManager/plugin/mina-sshd-api-core/
multibranch-scan-webhook-trigger,1.0.11,Yes,Unknown,Multibranch Scan Webhook Trigger,http://193.1.1.3:8080/pluginManager/plugin/multibranch-scan-webhook-trigger/
oic-auth,4.609.v9de140f63d01,Yes,Unknown,OpenId Connect Authentication Plugin,http://193.1.1.3:8080/pluginManager/plugin/oic-auth/
oidc-provider,111.v29fd614b_3617,Yes,Unknown,OpenID Connect Provider Plugin,http://193.1.1.3:8080/pluginManager/plugin/oidc-provider/
okhttp-api,4.12.0-195.vc02552c04ffd,Yes,Unknown,OkHttp Plugin,http://193.1.1.3:8080/pluginManager/plugin/okhttp-api/
parameterized-trigger,873.v8b_e37dd8418f,Yes,Unknown,Jenkins Parameterized Trigger plugin,http://193.1.1.3:8080/pluginManager/plugin/parameterized-trigger/
pipeline-build-step,571.v08a_fffd4b_0ce,Yes,Unknown,Pipeline: Build Step,http://193.1.1.3:8080/pluginManager/plugin/pipeline-build-step/
pipeline-graph-analysis,245.v88f03631a_b_21,Yes,Unknown,Pipeline Graph Analysis Plugin,http://193.1.1.3:8080/pluginManager/plugin/pipeline-graph-analysis/
pipeline-groovy-lib,776.vfee5327b_b_a_5b_,Yes,Unknown,Pipeline: Groovy Libraries,http://193.1.1.3:8080/pluginManager/plugin/pipeline-groovy-lib/
pipeline-input-step,540.v14b_100d754dd,Yes,Unknown,Pipeline: Input Step,http://193.1.1.3:8080/pluginManager/plugin/pipeline-input-step/
pipeline-milestone-step,138.v78ca_76831a_43,Yes,Unknown,Pipeline: Milestone Step,http://193.1.1.3:8080/pluginManager/plugin/pipeline-milestone-step/
pipeline-model-api,2.2277.v00573e73ddf1,Yes,Unknown,Pipeline: Model API,http://193.1.1.3:8080/pluginManager/plugin/pipeline-model-api/
pipeline-model-definition,2.2277.v00573e73ddf1,Yes,Unknown,Pipeline: Declarative,http://193.1.1.3:8080/pluginManager/plugin/pipeline-model-definition/
pipeline-model-extensions,2.2277.v00573e73ddf1,Yes,Unknown,Pipeline: Declarative Extension Points API,http://193.1.1.3:8080/pluginManager/plugin/pipeline-model-extensions/
pipeline-rest-api,2.38,Yes,Unknown,Pipeline: REST API Plugin,http://193.1.1.3:8080/pluginManager/plugin/pipeline-rest-api/
pipeline-stage-step,322.vecffa_99f371c,Yes,Unknown,Pipeline: Stage Step,http://193.1.1.3:8080/pluginManager/plugin/pipeline-stage-step/
pipeline-stage-tags-metadata,2.2277.v00573e73ddf1,Yes,Unknown,Pipeline: Stage Tags Metadata,http://193.1.1.3:8080/pluginManager/plugin/pipeline-stage-tags-metadata/
pipeline-stage-view,2.38,Yes,Unknown,Pipeline: Stage View Plugin,http://193.1.1.3:8080/pluginManager/plugin/pipeline-stage-view/
plain-credentials,199.v9f8e1f741799,Yes,Unknown,Plain Credentials Plugin,http://193.1.1.3:8080/pluginManager/plugin/plain-credentials/
plugin-util-api,6.1192.v30fe6e2837ff,Yes,Unknown,Plugin Utilities API Plugin,http://193.1.1.3:8080/pluginManager/plugin/plugin-util-api/
prism-api,1.30.0-630.va_e19d17f83b_0,Yes,Unknown,Prism API Plugin,http://193.1.1.3:8080/pluginManager/plugin/prism-api/
prometheus,819.v50953a_c560dd,Yes,Unknown,Prometheus metrics plugin,http://193.1.1.3:8080/pluginManager/plugin/prometheus/
role-strategy,840.v206ff7f7312e,Yes,Unknown,Role-based Authorization Strategy,http://193.1.1.3:8080/pluginManager/plugin/role-strategy/
scm-api,712.v8846fdd68c88,Yes,Unknown,SCM API Plugin,http://193.1.1.3:8080/pluginManager/plugin/scm-api/
script-security,1385.v7d2d9ec4d909,Yes,Unknown,Script Security Plugin,http://193.1.1.3:8080/pluginManager/plugin/script-security/
snakeyaml-api,2.5-143.v93b_c004f89de,Yes,Unknown,SnakeYAML API Plugin,http://193.1.1.3:8080/pluginManager/plugin/snakeyaml-api/
sonar-gerrit,388.v9b_f1cb_e42306,Yes,Unknown,Sonar Gerrit Plugin,http://193.1.1.3:8080/pluginManager/plugin/sonar-gerrit/
sonar-quality-gates,352.vdcdb_d7994fb_6,Yes,Unknown,Sonar Quality Gates Plugin,http://193.1.1.3:8080/pluginManager/plugin/sonar-quality-gates/
sonar,2.18,Yes,Unknown,SonarQube Scanner for Jenkins,http://193.1.1.3:8080/pluginManager/plugin/sonar/
sonargraph-integration,5.0.2,Yes,Unknown,Sonargraph Integration Jenkins Plugin,http://193.1.1.3:8080/pluginManager/plugin/sonargraph-integration/
ssh-credentials,361.vb_f6760818e8c,Yes,Unknown,SSH Credentials Plugin,http://193.1.1.3:8080/pluginManager/plugin/ssh-credentials/
sshd,3.374.v19b_d59ce6610,Yes,Unknown,SSH server,http://193.1.1.3:8080/pluginManager/plugin/sshd/
structs,353.v261ea_40a_80fb_,Yes,Unknown,Structs Plugin,http://193.1.1.3:8080/pluginManager/plugin/structs/
theme-manager,327.v780d7096ec29,Yes,Unknown,Theme Manager,http://193.1.1.3:8080/pluginManager/plugin/theme-manager/
throttle-concurrents,2.18,Yes,Unknown,Jenkins Throttle Concurrent Builds Plug-in,http://193.1.1.3:8080/pluginManager/plugin/throttle-concurrents/
token-macro,477.vd4f0dc3cb_cf1,Yes,Unknown,Token Macro Plugin,http://193.1.1.3:8080/pluginManager/plugin/token-macro/
trilead-api,2.209.v0e69b_c43c245,Yes,Unknown,Trilead API Plugin,http://193.1.1.3:8080/pluginManager/plugin/trilead-api/
variant,70.va_d9f17f859e0,Yes,Unknown,Variant Plugin,http://193.1.1.3:8080/pluginManager/plugin/variant/
workflow-aggregator,608.v67378e9d3db_1,Yes,Unknown,Pipeline,http://193.1.1.3:8080/pluginManager/plugin/workflow-aggregator/
workflow-api,1384.vdc05a_48f535f,Yes,Unknown,Pipeline: API,http://193.1.1.3:8080/pluginManager/plugin/workflow-api/
workflow-basic-steps,1098.v808b_fd7f8cf4,Yes,Unknown,Pipeline: Basic Steps,http://193.1.1.3:8080/pluginManager/plugin/workflow-basic-steps/
workflow-cps,4218.vff679a_5c0f3a_,Yes,Unknown,Pipeline: Groovy,http://193.1.1.3:8080/pluginManager/plugin/workflow-cps/
workflow-durable-task-step,1464.v2d3f5c68f84c,Yes,Unknown,Pipeline: Nodes and Processes,http://193.1.1.3:8080/pluginManager/plugin/workflow-durable-task-step/
workflow-job,1559.va_a_533730b_ea_d,Yes,Unknown,Pipeline: Job,http://193.1.1.3:8080/pluginManager/plugin/workflow-job/
workflow-multibranch,821.vc3b_4ea_780798,Yes,Unknown,Pipeline: Multibranch,http://193.1.1.3:8080/pluginManager/plugin/workflow-multibranch/
workflow-scm-step,466.va_d69e602552b_,Yes,Unknown,Pipeline: SCM Step,http://193.1.1.3:8080/pluginManager/plugin/workflow-scm-step/
workflow-step-api,710.v3e456cc85233,Yes,Unknown,Pipeline: Step API,http://193.1.1.3:8080/pluginManager/plugin/workflow-step-api/
workflow-support,1004.veee3a_d67cdb_9,Yes,Unknown,Pipeline: Supporting APIs,http://193.1.1.3:8080/pluginManager/plugin/workflow-support/
xml-job-to-job-dsl,0.1.13,Yes,Unknown,XML Job to Job DSL Plugin,http://193.1.1.3:8080/pluginManager/plugin/xml-job-to-job-dsl/
